               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1222,             0.04115,                   0,           0.0050239,             0.28571,            0.016168,           0.0044857,             0.08566,            0.025482,                   0,              0.0964,              0.0004,              0.0004
                   1,             0.10646,              0.0376,                   0,           0.0039688,             0.35714,            0.016159,           0.0038331,            0.083687,            0.024406,                   0,            0.091898,          0.00089823,          0.00089823
                   2,             0.11835,             0.03462,                   0,           0.0053681,             0.21429,             0.01635,           0.0041025,            0.080349,            0.023647,                   0,            0.087394,           0.0013945,           0.0013945
                   3,             0.10256,            0.038889,                   0,            0.018905,             0.14286,             0.02685,            0.012316,            0.073322,            0.022747,                   0,            0.082889,           0.0018888,           0.0018888
                   4,            0.092284,             0.03891,                   0,            0.017705,             0.14286,            0.030426,            0.012703,            0.063825,            0.022282,                   0,            0.078381,           0.0023811,           0.0023811
                   5,             0.10412,            0.035134,                   0,            0.017629,             0.14286,             0.03674,            0.014989,            0.058556,             0.02176,                   0,            0.073871,           0.0028714,           0.0028714
                   6,            0.088448,             0.03618,                   0,            0.029174,             0.35714,             0.03868,            0.012671,             0.05368,            0.020528,                   0,             0.06936,           0.0033598,           0.0033598
                   7,            0.092784,            0.032642,                   0,            0.045018,             0.28571,             0.08039,            0.016653,            0.052084,            0.019736,                   0,            0.064846,           0.0038462,           0.0038462
                   8,            0.079898,            0.035101,                   0,              0.0473,             0.14286,            0.098611,            0.022868,            0.048893,            0.019468,                   0,            0.060331,           0.0043306,           0.0043306
                   9,            0.091572,            0.038653,                   0,             0.10117,             0.21429,             0.14927,            0.035431,            0.044234,            0.018587,                   0,            0.055813,            0.004813,            0.004813
                  10,            0.084475,            0.042205,                   0,             0.13093,            0.071429,              0.1444,            0.059652,            0.045874,            0.017941,                   0,            0.051294,           0.0052935,           0.0052935
                  11,            0.079081,            0.040018,                   0,              0.2669,             0.14286,             0.19407,            0.074704,            0.044408,            0.017846,                   0,            0.046772,            0.005772,            0.005772
                  12,             0.07814,             0.04349,                   0,             0.15293,             0.14286,             0.16345,            0.072566,             0.04487,            0.017152,                   0,            0.042249,           0.0062485,           0.0062485
                  13,             0.06933,             0.04342,                   0,             0.15293,             0.14286,             0.16345,            0.072566,             0.04487,            0.017152,                   0,            0.037723,           0.0067231,           0.0067231
                  14,            0.073675,            0.051761,                   0,             0.21327,             0.35714,             0.26888,             0.11442,            0.044974,            0.016995,                   0,            0.033196,           0.0071957,           0.0071957
                  15,               0.073,            0.052682,                   0,             0.15929,             0.35714,             0.19747,            0.091019,            0.042499,            0.018288,                   0,            0.028666,           0.0076663,           0.0076663
                  16,            0.065197,            0.034439,                   0,             0.63926,                 0.5,             0.47996,             0.17313,            0.042446,            0.018039,                   0,            0.024135,           0.0081349,           0.0081349
                  17,            0.064959,            0.037135,                   0,             0.63926,                 0.5,             0.47996,             0.17313,            0.042446,            0.018039,                   0,            0.019602,           0.0086016,           0.0086016
                  18,            0.076284,            0.041413,                   0,             0.36602,              0.4951,             0.33873,             0.16544,            0.040953,            0.018322,                   0,            0.015066,           0.0090663,           0.0090663
                  19,            0.069345,            0.031752,                   0,             0.65119,             0.35714,             0.42812,             0.19419,            0.038791,            0.016105,                   0,            0.010529,            0.009529,            0.009529
                  20,            0.072852,            0.034842,                   0,             0.65119,             0.35714,             0.42812,             0.19419,            0.038791,            0.016105,                   0,           0.0096056,           0.0096056,           0.0096056
